,Unnamed: 0,주소,매장명,위도,경도,매장,0,1,2,3,지점명,시,구,동
28,,서울 구로구 구로동 197-21,구로디지털,37.485098,126.8950405,맥도날드,,,,,,,,
29,,서울 종로구 종로3가 10,종로 3,37.570588,126.990462,맥도날드,,,,,,,,
30,,서울 은평구 응암동 90-1,은평이마트,37.600317,126.920178,맥도날드,,,,,,,,
31,,서울 강남구 신사동 603-2,압구정CGV,37.524435,127.028976,맥도날드,,,,,,,,
32,,서울 서초구 서초동 1338-20,서초뱅뱅,37.490081,127.030926,맥도날드,,,,,,,,
33,,서울 도봉구 쌍문동 700,쌍문DT점,37.653641,127.037193,맥도날드,,,,,,,,
34,,서울 성동구 성수동2가 333-16,성수이마트,37.540261,127.053351,맥도날드,,,,,,,,
35,,서울 서초구 양재동 24,양재,37.4822573,127.0358688,맥도날드,,,,,,,,
36,,서울 구로구 구로동 3-25,신도림 테크노점,37.506818,126.890674,맥도날드,,,,,,,,
37,,서울 용산구 동자동 43-205,서울역,37.5546203,126.9704671,맥도날드,,,,,,,,
38,,서울 성북구 종암동 10-15,종암SK,37.59578,127.0360251,맥도날드,,,,,,,,
39,,서울 은평구 구산동 1-14,구산,37.6106,126.916698,맥도날드,,,,,,,,
40,,서울 송파구 가락동 193-7,가락DT점,37.494879,127.130762,맥도날드,,,,,,,,
41,,서울 송파구 잠실동 181-9,신천,37.511393,127.082759,맥도날드,,,,,,,,
42,,서울 강서구 공항동 45-38,송정역,37.561718,126.809705,맥도날드,,,,,,,,
43,,서울 동대문구 전농동 295-96,전농,37.578132,127.057758,맥도날드,,,,,,,,
44,,서울 양천구 목동 908-25,파리공원점,37.537162,126.881005,맥도날드,,,,,,,,
45,,서울 은평구 갈현동 456-28,연신내,37.617615,126.919217,맥도날드,,,,,,,,
46,,서울 중랑구 망우동 506-1,상봉이마트,37.5964905,127.093618,맥도날드,,,,,,,,
47,,서울 강남구 청담동 87-3,청담DT,37.5237111,127.0403004,맥도날드,,,,,,,,
48,,서울 양천구 신정동 323-20,양천구청DT점,37.515464,126.862965,맥도날드,,,,,,,,
49,,서울 성동구 행당동 31-7,한양대,37.557201,127.041917,맥도날드,,,,,,,,
50,,서울 중랑구 신내동 666,신내,37.606387,127.094714,맥도날드,,,,,,,,
51,,서울 종로구 동숭동 1-34,대학로,37.58285,127.002106,맥도날드,,,,,,,,
52,,서울 노원구 상계동 763-2,중계역,37.648286,127.062056,맥도날드,,,,,,,,
53,,서울 광진구 자양동 216-11,구의역,37.536406,127.084466,맥도날드,,,,,,,,
54,,서울 양천구 신정동 899-6,목동,37.528116,126.863788,맥도날드,,,,,,,,
55,,서울 중랑구 상봉동 130-166,중랑,37.59341,127.075477,맥도날드,,,,,,,,
56,,서울 노원구 중계동 359-14,중계,37.650831,127.07599,맥도날드,,,,,,,,
57,,서울 성북구 동소문동1가 32-3,삼선,37.5894108,127.0075428,맥도날드,,,,,,,,
58,,서울 영등포구 영등포동3가 10-4,영등포,37.516948,126.90763,맥도날드,,,,,,,,
59,,서울 관악구 신림동 1641-22,신림,37.481966,126.930161,맥도날드,,,,,,,,
60,,서울 성북구 안암동5가 102-33,안암,37.584398,127.029239,맥도날드,,,,,,,,
61,,서울 강북구 번동 418-17,수유,37.637908,127.026011,맥도날드,,,,,,,,
62,,서울 서초구 방배동 909-9,방배,37.481612,126.997127,맥도날드,,,,,,,,
63,,서울 동작구 노량진동 100-1,노량진,37.5134312,126.943535,맥도날드,,,,,,,,
64,,서울 용산구 이태원동 56-21,이태원,37.5339542,126.9897127,맥도날드,,,,,,,,
65,,서울 양천구 신월동 199-3,신월DT,37.5314234,126.8308779,맥도날드,,,,,,,,
66,,서울 동대문구 장안동 308-4,장안사거리점,37.572507,127.072619,맥도날드,,,,,,,,
67,,서울 동대문구 이문동 305-2,외대,37.595842,127.061874,맥도날드,,,,,,,,
68,,서울 강남구 신사동 514-15,신사역,37.517415,127.021881,맥도날드,,,,,,,,
69,,서울 강남구 논현동 129-1,학동역,37.513571,127.0304277,맥도날드,,,,,,,,
70,,서울 강서구 염창동 280-11,염창 DT점,37.547627,126.8715,맥도날드,,,,,,,,
71,,서울 서대문구 남가좌동 324-3,명지대점,37.579896,126.924725,맥도날드,,,,,,,,
72,,서울 동작구 상도동 505-5,숭실대,37.495071,126.956887,맥도날드,,,,,,,,
73,,서울 노원구 상계동 1022,상계DT,37.672395,127.056223,맥도날드,,,,,,,,
74,,경기 양주시 장흥면 삼하리 250-16,양주휴게소DT,37.678968,126.91616,맥도날드,,,,,,,,
75,,서울 강동구 상일동 502,상일동점,37.5498037,127.1753478,맥도날드,,,,,,,,
76,,서울 도봉구 도봉동 620-25,방학역DT점,37.670048,127.043274,맥도날드,,,,,,,,
77,,서울 송파구 잠실동 305-15,송파잠실DT,37.504361,127.077051,맥도날드,,,,,,,,
78,,서울 노원구 공릉동 435-2,과학기술대점,37.629723,127.07612,맥도날드,,,,,,,,
79,,서울 금천구 시흥동 903-4,서울시흥DT,37.45046,126.902621,맥도날드,,,,,,,,
80,,서울 강북구 번동 106,서울번동DT점,37.621142,127.045245,맥도날드,,,,,,,,
81,,서울 강북구 미아동 682-12,미아DT,37.618093,127.021708,맥도날드,,,,,,,,
82,,서울시 강서구 화곡동 1026,우장산DT,37.545063,126.837336,맥도날드,,,,,,,,
83,,서울 강동구 천호동 31-10,굽은다리역DT,37.547256,127.142984,맥도날드,,,,,,,,
84,,서울 강동구 둔촌동 517-2,서울둔촌DT,37.52928,127.137334,맥도날드,,,,,,,,
85,,서울 구로구 고척동 73-20,고척DT,37.497228,126.863536,맥도날드,,,,,,,,
86,,서울 영등포구 신길동 505,보라매,37.5003258,126.9200103,맥도날드,,,,,,,,
87,,서울 강남구 삼성동 159,코엑스,37.5105202,127.0602059,맥도날드,,,,,,,,
88,,서울 마포구 상암동 1602,서울 상암 DMC,37.5804493,126.8899133,맥도날드,,,,,,,,
89,,서울 서대문구 홍제동 253-11,홍제역,37.588756,126.944663,맥도날드,,,,,,,,
90,,서울 강남구 삼성동 113-7,강남삼성DT,37.5108629,127.0473756,맥도날드,,,,,,,,
91,,서울 종로구 창신동 290,동묘,37.5731655,127.0151274,맥도날드,,,,,,,,
92,,서울 마포구 망원동 377-19,망원점,37.5560628,126.9097173,맥도날드,,,,,,,,
93,,서울 송파구 장지동 896,위례신도시,37.4749314,127.1428218,맥도날드,,,,,,,,
94,,서울 노원구 하계동 284,세이브존 노원,37.6366485,127.0689352,맥도날드,,,,,,,,
95,,서울 중구 을지로1가 32,서울시청,37.5667729,126.9794809,맥도날드,,,,,,,,
0,0.0,,,37.4776598,127.1250068,맘스터치,가든파이브점,서울특별시,송파구,문정동,,,,
1,1.0,,,37.4814002,126.8837813,맘스터치,가산디지털단지역점,서울특별시,금천구,벚꽃로,,,,
2,2.0,,,37.4754654,126.8908853,맘스터치,가산센트럴점,서울특별시,금천구,가산동,,,,
3,3.0,,,37.56153,126.8539946,맘스터치,가양역점,서울특별시,강서구,등촌동,,,,
4,4.0,,,37.5784186,126.9099561,맘스터치,가재울점,서울특별시,서대문구,북가좌동,,,,
5,5.0,,,37.5079472,127.0272491,맘스터치,강남논현점,서울특별시,강남구,강남대로120길,,,,
6,6.0,,,37.4956509,127.0320224,맘스터치,강남대성학원점,서울특별시,강남구,강남대로78길,,,,
7,7.0,,,37.5047276,127.0460538,맘스터치,강남선릉점,서울특별시,강남구,선릉로93길,,,,
8,8.0,,,37.4753039,127.1047122,맘스터치,강남세곡점,서울특별시,강남구,자곡로,,,,
9,9.0,,,37.5260003,127.0271599,맘스터치,강남압구정점,서울특별시,강남구,신사동,,,,
10,10.0,,,37.5016412,127.0269042,맘스터치,강남역점,서울특별시,강남구,역삼동,,,,
11,11.0,,,37.5656316,127.1738307,맘스터치,강동강일점,서울특별시,강동구,아리수로93길,,,,
12,12.0,,,37.5591958,127.1527974,맘스터치,강동고덕점,서울특별시,강동구,고덕동,,,,
13,13.0,,,37.550162,127.1461669,맘스터치,강동명일점,서울특별시,강동구,구천면로,,,,
14,14.0,,,37.5366298,127.1347656,맘스터치,강동역점,서울특별시,강동구,천호동,,,,
15,15.0,,,37.5505813,126.8490472,맘스터치,강서구청점,서울특별시,강서구,화곡로,,,,
16,16.0,,,37.5736289,126.8136657,맘스터치,강서방화사거리점,서울특별시,강서구,방화동,,,,
17,17.0,,,37.4939887,126.8582373,맘스터치,개봉역점,서울특별시,구로구,개봉동,,,,
18,18.0,,,37.5417175,127.0873849,맘스터치,건대로데오점,서울특별시,광진구,아차산로,,,,
19,19.0,,,37.5390734,127.0711481,맘스터치,건대스타시티점,서울특별시,광진구,능동로,,,,
20,20.0,,,37.5921536,127.0521914,맘스터치,경희대로점,서울특별시,동대문구,경희대로,,,,
21,21.0,,,37.5886237,127.0325553,맘스터치,고대타이거플라자점,서울특별시,성북구,안암동5가,,,,
22,22.0,,,37.5899103,127.0318122,맘스터치,고대하나스퀘어점,서울특별시,성북구,안암로,,,,
23,23.0,,,37.5066791,126.8594812,맘스터치,고척사거리점,서울,구로구,고척동,,,,
24,24.0,,,37.6291183,127.076729,맘스터치,과기대점,서울특별시,노원구,공릉동,,,,
25,25.0,,,37.4726909,126.9194689,맘스터치,관악난곡점,서울특별시,관악구,신림동,,,,
26,26.0,,,37.4703177,126.9395214,맘스터치,관악대학동점,서울특별시,관악구,신림동,,,,
27,27.0,,,37.4751076,126.9813722,맘스터치,관악사당역점,서울특별시,관악구,남현동,,,,
28,28.0,,,37.4864665,126.9128134,맘스터치,관악신대방역점,서울특별시,관악구,신사로,,,,
29,29.0,,,37.5413606,127.0972644,맘스터치,광장동점,서울특별시,광진구,아차산로,,,,
30,30.0,,,37.4950671,126.8720041,맘스터치,구로구일역점,서울특별시,구로구,구로동,,,,
31,31.0,,,37.4843329,126.9022313,맘스터치,구로디지털단지역점,서울,구로구,시흥대로,,,,
32,32.0,,,37.4895303,126.8909877,맘스터치,구로시장점,서울특별시,구로구,구로동,,,,
33,33.0,,,37.5064034,126.8833762,맘스터치,구로신도림점,서울특별시,구로구,경인로59길,,,,
34,34.0,,,37.4798826,126.8232343,맘스터치,구로항동점,서울특별시,구로구,항동,,,,
35,35.0,,,37.61011,126.9170969,맘스터치,구산역점,서울특별시,은평구,역촌동,,,,
36,36.0,,,37.6394555,126.9191948,맘스터치,구파발역점,서울특별시,은평구,진관3로,,,,
37,37.0,,,37.6104451,126.9962399,맘스터치,국민대점,서울특별시,성북구,정릉동,,,,
38,38.0,,,37.5564597,127.0794582,맘스터치,군자역점,서울특별시,광진구,능동로,,,,
39,39.0,,,37.5431493,127.1416967,맘스터치,굽은다리역점,서울,강동구,천호동,,,,
40,40.0,,,37.4522347,126.9019141,맘스터치,금천시흥사거리점,서울특별시,금천구,시흥대로,,,,
41,41.0,,,37.4503799,126.9102731,맘스터치,금천은행나무점,서울특별시,금천구,금하로,,,,
42,42.0,,,37.5318084,126.8469679,맘스터치,까치산점,서울특별시,강서구,강서로,,,,
43,43.0,,,37.4767953,126.9650314,맘스터치,낙성대역점,서울특별시,관악구,행운동,,,,
44,44.0,,,37.4854376,126.9698719,맘스터치,남성역점,서울특별시,동작구,사당동,,,,
45,45.0,,,37.5115821,126.9453692,맘스터치,노량진1호점,서울특별시,동작구,노량진동,,,,
46,46.0,,,37.5125504,126.9432237,맘스터치,노량진2호점,서울특별시,동작구,노량진1동,,,,
47,47.0,,,37.6569857,127.0625015,맘스터치,노원로데오점,서울특별시,노원구,상계로3길,,,,
48,48.0,,,37.6485032,127.0763319,맘스터치,노원중계점,서울특별시,노원구,중계동,,,,
49,49.0,,,37.6402747,127.072766,맘스터치,노원하계점,서울특별시,노원구,노원로,,,,
50,50.0,,,37.5105435,127.0359609,맘스터치,논현아이파크점,서울특별시,강남구,논현동,,,,
51,51.0,,,37.5668543,127.0532151,맘스터치,답십리역점,서울,동대문구,천호대로,,,,
52,52.0,,,37.5346308,126.8999307,맘스터치,당산역점,서울특별시,영등포구,양평로,,,,
53,53.0,,,37.5117742,126.9253635,맘스터치,대방역점,서울,동작구,대방동,,,,
54,54.0,,,37.4976011,127.0611387,맘스터치,대치동학원가점,서울특별시,강남구,삼성로,,,,
55,55.0,,,37.6484391,127.0145972,맘스터치,덕성여대점,서울특별시,강북구,수유2동,,,,
56,56.0,,,37.4690188,126.8956012,맘스터치,독산지식산업센터점,서울특별시,금천구,독산동,,,,
